rec,date,U,H,F,D,B,ms,ns
0,1978-06,1,0,0,0,0,U,1
0,1978-07,1,0,0,0,0,U,1
0,1978-08,0,0,1,0,0,F,5
0,1978-09,0,0,0,1,0,D,3
0,1978-10,0,0,0,1,0,D,3
0,1978-11,0,0,0,1,0,D,3
0,1978-12,0,0,0,1,0,D,3
0,1979-01,0,0,0,1,0,D,3
0,1979-02,0,0,0,1,0,D,3
0,1979-03,0,0,0,1,0,D,3
0,1979-04,0,0,0,1,0,D,3
0,1979-05,0,0,0,1,0,D,3
0,1979-06,0,0,0,1,0,D,3
0,1979-07,0,0,0,1,0,D,3
0,1979-08,0,0,0,1,0,D,3
0,1979-09,0,0,0,1,0,D,3
0,1979-10,0,0,0,1,0,D,3
0,1979-11,0,0,0,1,0,D,3
0,1979-12,0,0,0,1,0,D,3
0,1980-01,0,0,0,1,0,D,3
1,1980-02,0,0,0,1,0,D,3
1,1980-03,0,0,0,1,0,D,3
1,1980-04,0,0,0,1,0,D,3
1,1980-05,1,0,0,0,0,U,1
1,1980-06,1,0,0,0,0,U,1
1,1980-07,1,0,0,0,0,U,1
0,1980-08,1,0,0,0,0,U,1
0,1980-09,0,1,0,0,0,H,2
0,1980-10,0,0,0,1,0,D,3
0,1980-11,0,0,0,1,0,D,3
0,1980-12,0,0,0,1,0,D,3
0,1981-01,0,0,0,1,0,D,3
0,1981-02,0,0,0,1,0,D,3
0,1981-03,0,0,0,1,0,D,3
0,1981-04,0,0,0,1,0,D,3
0,1981-05,0,0,0,1,0,D,3
0,1981-06,0,0,0,1,0,D,3
0,1981-07,0,0,0,1,0,D,3
1,1981-08,0,0,0,1,0,D,3
1,1981-09,0,0,0,1,0,D,3
1,1981-10,0,1,0,0,0,H,2
1,1981-11,1,0,0,0,0,U,1
1,1981-12,1,0,0,0,0,U,1
1,1982-01,0,1,0,0,0,H,2
1,1982-02,0,1,0,0,0,H,2
1,1982-03,0,1,0,0,0,H,2
1,1982-04,0,1,0,0,0,H,2
1,1982-05,0,1,0,0,0,H,2
1,1982-06,0,1,0,0,0,H,2
1,1982-07,0,1,0,0,0,H,2
1,1982-08,1,0,0,0,0,U,1
1,1982-09,1,0,0,0,0,U,1
1,1982-10,1,0,0,0,0,U,1
1,1982-11,1,0,0,0,0,U,1
0,1982-12,1,0,0,0,0,U,1
0,1983-01,1,0,0,0,0,U,1
0,1983-02,1,0,0,0,0,U,1
0,1983-03,1,0,0,0,0,U,1
0,1983-04,1,0,0,0,0,U,1
0,1983-05,1,0,0,0,0,U,1
0,1983-06,1,0,0,0,0,U,1
0,1983-07,1,0,0,0,0,U,1
0,1983-08,1,0,0,0,0,U,1
0,1983-09,1,0,0,0,0,U,1
0,1983-10,1,0,0,0,0,U,1
0,1983-11,1,0,0,0,0,U,1
0,1983-12,1,0,0,0,0,U,1
0,1984-01,1,0,0,0,0,U,1
0,1984-02,1,0,0,0,0,U,1
0,1984-03,1,0,0,0,0,U,1
0,1984-04,1,0,0,0,0,U,1
0,1984-05,1,0,0,0,0,U,1
0,1984-06,1,0,0,0,0,U,1
0,1984-07,1,0,0,0,0,U,1
0,1984-08,1,0,0,0,0,U,1
0,1984-09,0,1,0,0,0,H,2
0,1984-10,1,0,0,0,0,U,1
0,1984-11,1,0,0,0,0,U,1
0,1984-12,1,0,0,0,0,U,1
0,1985-01,1,0,0,0,0,U,1
0,1985-02,1,0,0,0,0,U,1
0,1985-03,1,0,0,0,0,U,1
0,1985-04,1,0,0,0,0,U,1
0,1985-05,1,0,0,0,0,U,1
0,1985-06,1,0,0,0,0,U,1
0,1985-07,1,0,0,0,0,U,1
