"","date","Ufh","Ufb","Usb","Ush","H","D","B","F","ns","ms"
"276","1967-12",0,0,0,0,0,0,0,1,"5","F"
"277","1968-01",0,0,0,0,1,0,0,0,"2","H"
"278","1968-02",0,0,0,0,1,0,0,0,"2","H"
"279","1968-03",0,0,0,0,1,0,0,0,"2","H"
"280","1968-04",0,0,0,0,1,0,0,0,"2","H"
"281","1968-05",0,0,0,0,0,1,0,0,"3","D"
"282","1968-06",0,0,0,0,0,1,0,0,"3","D"
"283","1968-07",0,0,0,0,0,1,0,0,"3","D"
"284","1968-08",0,0,0,0,1,0,0,0,"2","H"
"285","1968-09",0,0,0,0,0,0,0,1,"5","F"
"286","1968-10",0,0,0,0,0,0,0,1,"5","F"
"287","1968-11",0,0,0,0,0,0,1,0,"4","B"
"288","1968-12",0,0,0,0,0,1,0,0,"3","D"
"289","1969-01",0,0,0,0,0,1,0,0,"3","D"
"290","1969-02",0,0,0,0,0,1,0,0,"3","D"
"291","1969-03",0,0,0,0,1,0,0,0,"2","H"
"292","1969-04",0,0,0,0,1,0,0,0,"2","H"
"293","1969-05",0,0,0,0,1,0,0,0,"2","H"
"294","1969-06",0,0,0,0,0,1,0,0,"3","D"
"295","1969-07",0,0,0,0,0,1,0,0,"3","D"
"296","1969-08",0,0,0,0,0,1,0,0,"3","D"
"297","1969-09",0,0,0,0,0,1,0,0,"3","D"
"298","1969-10",0,0,0,0,0,1,0,0,"3","D"
"299","1969-11",0,0,0,0,0,1,0,0,"3","D"
"300","1969-12",0,0,0,0,0,1,0,0,"3","D"
"301","1970-01",0,0,0,0,0,1,0,0,"3","D"
"302","1970-02",0,0,0,0,1,0,0,0,"2","H"
"303","1970-03",0,0,0,0,1,0,0,0,"2","H"
"304","1970-04",0,0,0,0,1,0,0,0,"2","H"
"305","1970-05",0,0,0,0,1,0,0,0,"2","H"
"306","1970-06",0,0,0,0,1,0,0,0,"2","H"
"307","1970-07",0,0,0,0,1,0,0,0,"2","H"
"308","1970-08",0,0,0,0,1,0,0,0,"2","H"
"309","1970-09",0,0,0,0,1,0,0,0,"2","H"
"310","1970-10",0,0,0,0,1,0,0,0,"2","H"
"311","1970-11",1,0,0,0,0,0,0,0,"0.25","U1"
"312","1970-12",1,0,0,0,0,0,0,0,"0.25","U1"
"313","1971-01",1,0,0,0,0,0,0,0,"0.25","U1"
"314","1971-02",0,0,0,1,0,0,0,0,"1","U4"
"315","1971-03",0,0,0,1,0,0,0,0,"1","U4"
"316","1971-04",1,0,0,0,0,0,0,0,"0.25","U1"
"317","1971-05",1,0,0,0,0,0,0,0,"0.25","U1"
"318","1971-06",0,0,0,0,1,0,0,0,"2","H"
"319","1971-07",0,0,0,0,1,0,0,0,"2","H"
"320","1971-08",0,0,0,0,1,0,0,0,"2","H"
"321","1971-09",1,0,0,0,0,0,0,0,"0.25","U1"
"322","1971-10",1,0,0,0,0,0,0,0,"0.25","U1"
"323","1971-11",1,0,0,0,0,0,0,0,"0.25","U1"
"324","1971-12",1,0,0,0,0,0,0,0,"0.25","U1"
"325","1972-01",1,0,0,0,0,0,0,0,"0.25","U1"
"326","1972-02",1,0,0,0,0,0,0,0,"0.25","U1"
"327","1972-03",1,0,0,0,0,0,0,0,"0.25","U1"
"328","1972-04",1,0,0,0,0,0,0,0,"0.25","U1"
"329","1972-05",1,0,0,0,0,0,0,0,"0.25","U1"
"330","1972-06",1,0,0,0,0,0,0,0,"0.25","U1"
"331","1972-07",1,0,0,0,0,0,0,0,"0.25","U1"
"332","1972-08",1,0,0,0,0,0,0,0,"0.25","U1"
"333","1972-09",1,0,0,0,0,0,0,0,"0.25","U1"
"334","1972-10",1,0,0,0,0,0,0,0,"0.25","U1"
"335","1972-11",0,0,0,0,1,0,0,0,"2","H"
"336","1972-12",1,0,0,0,0,0,0,0,"0.25","U1"
"337","1973-01",1,0,0,0,0,0,0,0,"0.25","U1"
"338","1973-02",1,0,0,0,0,0,0,0,"0.25","U1"
"339","1973-03",0,0,0,0,0,0,0,1,"5","F"
"340","1973-04",0,0,0,0,0,0,1,0,"4","B"
"341","1973-05",0,0,0,0,0,0,0,1,"5","F"
"342","1973-06",0,0,0,0,0,0,1,0,"4","B"
"343","1973-07",0,0,0,0,0,1,0,0,"3","D"
"344","1973-08",0,0,0,0,0,1,0,0,"3","D"
"345","1973-09",0,0,0,0,0,0,1,0,"4","B"
"346","1973-10",0,0,0,0,0,0,1,0,"4","B"
"347","1973-11",0,0,0,0,0,0,1,0,"4","B"
"348","1973-12",0,0,0,0,0,0,1,0,"4","B"
"349","1974-01",0,0,0,0,0,0,1,0,"4","B"
"350","1974-02",0,0,0,0,0,0,1,0,"4","B"
"351","1974-03",0,0,0,0,0,0,1,0,"4","B"
"352","1974-04",0,0,0,0,0,1,0,0,"3","D"
"353","1974-05",0,0,0,0,0,1,0,0,"3","D"
"354","1974-06",0,0,0,0,0,1,0,0,"3","D"
"355","1974-07",0,0,0,0,0,1,0,0,"3","D"
"356","1974-08",0,0,0,0,0,1,0,0,"3","D"
"357","1974-09",0,0,0,0,0,1,0,0,"3","D"
"358","1974-10",0,0,0,0,0,0,1,0,"4","B"
"359","1974-11",0,0,0,0,0,0,1,0,"4","B"
"360","1974-12",0,1,0,0,0,0,0,0,"0.5","U2"
"361","1975-01",1,0,0,0,0,0,0,0,"0.25","U1"
"362","1975-02",1,0,0,0,0,0,0,0,"0.25","U1"
"363","1975-03",1,0,0,0,0,0,0,0,"0.25","U1"
"364","1975-04",1,0,0,0,0,0,0,0,"0.25","U1"
"365","1975-05",1,0,0,0,0,0,0,0,"0.25","U1"
"366","1975-06",1,0,0,0,0,0,0,0,"0.25","U1"
