"","date","B","D","F","H","U","Ua","Ub","Shape","S"
"328","1980-07",0,0,0,0,1,1,0,"Ua","0.5"
"329","1980-08",0,0,0,0,1,1,0,"Ua","0.5"
"330","1980-09",0,0,0,1,0,0,0,"H","4"
"331","1980-10",0,1,0,0,0,0,0,"D","5"
"332","1980-11",0,1,0,0,0,0,0,"D","5"
"333","1980-12",0,1,0,0,0,0,0,"D","5"
"334","1981-01",0,1,0,0,0,0,0,"D","5"
"335","1981-02",0,1,0,0,0,0,0,"D","5"
"336","1981-03",0,1,0,0,0,0,0,"D","5"
"337","1981-04",0,1,0,0,0,0,0,"D","5"
"338","1981-05",0,1,0,0,0,0,0,"D","5"
"339","1981-06",0,1,0,0,0,0,0,"D","5"
"340","1981-07",0,1,0,0,0,0,0,"D","5"
"341","1981-08",0,1,0,0,0,0,0,"D","5"
"342","1981-09",0,1,0,0,0,0,0,"D","5"
"343","1981-10",0,0,0,1,0,0,0,"H","4"
"344","1981-11",0,0,0,0,1,1,0,"Ua","0.5"
"345","1981-12",0,0,0,0,1,1,0,"Ua","0.5"
"346","1982-01",0,0,0,1,0,0,0,"H","4"
"347","1982-02",0,0,0,1,0,0,0,"H","4"
"348","1982-03",0,0,0,1,0,0,0,"H","4"
"349","1982-04",0,0,0,1,0,0,0,"H","4"
"350","1982-05",0,0,0,1,0,0,0,"H","4"
"351","1982-06",0,0,0,1,0,0,0,"H","4"
"352","1982-07",0,0,0,1,0,0,0,"H","4"
"353","1982-08",0,0,0,0,1,0,1,"Ub","1"
"354","1982-09",0,0,0,0,1,0,1,"Ub","1"
"355","1982-10",0,0,0,0,1,0,1,"Ub","1"
"356","1982-11",0,0,0,0,1,1,0,"Ua","0.5"
"357","1982-12",0,0,0,0,1,1,0,"Ua","0.5"
"358","1983-01",0,0,0,0,1,0,1,"Ub","1"
"359","1983-02",0,0,0,0,1,0,1,"Ub","1"
"360","1983-03",0,0,0,0,1,1,0,"Ua","0.5"
"361","1983-04",0,0,0,0,1,1,0,"Ua","0.5"
"362","1983-05",0,0,0,0,1,1,0,"Ua","0.5"
"363","1983-06",0,0,0,0,1,1,0,"Ua","0.5"
"364","1983-07",0,0,0,0,1,1,0,"Ua","0.5"
"365","1983-08",0,0,0,0,1,1,0,"Ua","0.5"
"366","1983-09",0,0,0,0,1,1,0,"Ua","0.5"
"367","1983-10",0,0,0,0,1,0,1,"Ub","1"
"368","1983-11",0,0,0,0,1,0,1,"Ub","1"
"369","1983-12",0,0,0,0,1,0,1,"Ub","1"
"370","1984-01",0,0,0,0,1,0,1,"Ub","1"
"371","1984-02",0,0,0,0,1,0,1,"Ub","1"
"372","1984-03",0,0,0,0,1,0,1,"Ub","1"
"373","1984-04",0,0,0,0,1,0,1,"Ub","1"
"374","1984-05",0,0,0,0,1,0,1,"Ub","1"
"375","1984-06",0,0,0,0,1,0,1,"Ub","1"
"376","1984-07",0,0,0,0,1,0,1,"Ub","1"
"377","1984-08",0,0,0,0,1,1,0,"Ua","0.5"
"378","1984-09",0,0,0,1,0,0,0,"H","4"
"379","1984-10",0,0,0,0,1,1,0,"Ua","0.5"
"380","1984-11",0,0,0,0,1,0,1,"Ub","1"
"381","1984-12",0,0,0,0,1,0,1,"Ub","1"
"382","1985-01",0,0,0,0,1,0,1,"Ub","1"
"383","1985-02",0,0,0,0,1,0,1,"Ub","1"
"384","1985-03",0,0,0,0,1,0,1,"Ub","1"
"385","1985-04",0,0,0,0,1,0,1,"Ub","1"
"386","1985-05",0,0,0,0,1,0,1,"Ub","1"
"387","1985-06",0,0,0,0,1,0,1,"Ub","1"
"388","1985-07",0,0,0,0,1,0,1,"Ub","1"
"389","1985-08",0,0,0,0,1,0,1,"Ub","1"
"390","1985-09",0,0,0,0,1,0,1,"Ub","1"
"391","1985-10",0,0,0,0,1,0,1,"Ub","1"
"392","1985-11",0,0,0,0,1,0,1,"Ub","1"
"393","1985-12",0,0,0,0,1,0,1,"Ub","1"
"394","1986-01",0,0,0,0,1,1,0,"Ua","0.5"
"395","1986-02",0,0,0,0,1,1,0,"Ua","0.5"
"396","1986-03",0,0,0,0,1,1,0,"Ua","0.5"
"397","1986-04",0,0,0,0,1,1,0,"Ua","0.5"
"398","1986-05",0,0,0,0,1,1,0,"Ua","0.5"
"399","1986-06",0,0,0,0,1,1,0,"Ua","0.5"
"400","1986-07",0,0,0,0,1,1,0,"Ua","0.5"
"401","1986-08",0,0,0,0,1,1,0,"Ua","0.5"
"402","1986-09",0,0,0,0,1,1,0,"Ua","0.5"
"403","1986-10",0,0,0,0,1,0,1,"Ub","1"
"404","1986-11",0,0,0,0,1,1,0,"Ua","0.5"
"405","1986-12",0,0,0,0,1,1,0,"Ua","0.5"
"406","1987-01",0,0,0,0,1,1,0,"Ua","0.5"
