"","date","B","D","F","H","U","Shape","S"
"367","1975-07",0,0,0,0,1,"U","1"
"368","1975-08",0,0,0,0,1,"U","1"
"369","1975-09",0,0,0,0,1,"U","1"
"370","1975-10",0,0,0,0,1,"U","1"
"371","1975-11",0,0,0,0,1,"U","1"
"372","1975-12",0,0,0,0,1,"U","1"
"373","1976-01",0,0,0,0,1,"U","1"
"374","1976-02",0,0,0,0,1,"U","1"
"375","1976-03",0,0,0,0,1,"U","1"
"376","1976-04",0,0,0,0,1,"U","1"
"377","1976-05",0,0,0,0,1,"U","1"
"378","1976-06",0,0,0,0,1,"U","1"
"379","1976-07",0,0,0,0,1,"U","1"
"380","1976-08",0,0,0,0,1,"U","1"
"381","1976-09",0,0,0,0,1,"U","1"
"382","1976-10",0,0,0,0,1,"U","1"
"383","1976-11",0,0,0,0,1,"U","1"
"384","1976-12",0,0,0,0,1,"U","1"
"385","1977-01",0,0,0,0,1,"U","1"
"386","1977-02",0,0,0,0,1,"U","1"
"387","1977-03",0,0,0,0,1,"U","1"
"388","1977-04",0,0,0,0,1,"U","1"
"389","1977-05",0,0,0,0,1,"U","1"
"390","1977-06",0,0,0,0,1,"U","1"
"391","1977-07",0,0,0,0,1,"U","1"
"392","1977-08",0,0,0,0,1,"U","1"
"393","1977-09",0,0,0,0,1,"U","1"
"394","1977-10",0,0,0,0,1,"U","1"
"395","1977-11",0,0,0,0,1,"U","1"
"396","1977-12",0,0,0,0,1,"U","1"
"397","1978-01",0,0,0,0,1,"U","1"
"398","1978-02",0,0,0,0,1,"U","1"
"399","1978-03",0,0,0,0,1,"U","1"
"400","1978-04",0,0,0,0,1,"U","1"
"401","1978-05",0,0,0,0,1,"U","1"
"402","1978-06",0,0,0,0,1,"U","1"
"403","1978-07",0,0,0,0,1,"U","1"
"404","1978-08",0,0,1,0,0,"F","3"
"405","1978-09",0,1,0,0,0,"D","5"
"406","1978-10",0,1,0,0,0,"D","5"
"407","1978-11",0,1,0,0,0,"D","5"
"408","1978-12",0,1,0,0,0,"D","5"
"409","1979-01",0,1,0,0,0,"D","5"
"410","1979-02",0,1,0,0,0,"D","5"
"411","1979-03",0,1,0,0,0,"D","5"
"412","1979-04",0,1,0,0,0,"D","5"
"413","1979-05",0,1,0,0,0,"D","5"
"414","1979-06",0,1,0,0,0,"D","5"
"415","1979-07",0,1,0,0,0,"D","5"
"416","1979-08",0,1,0,0,0,"D","5"
"417","1979-09",0,1,0,0,0,"D","5"
"418","1979-10",0,1,0,0,0,"D","5"
"419","1979-11",0,1,0,0,0,"D","5"
"420","1979-12",0,1,0,0,0,"D","5"
"421","1980-01",0,1,0,0,0,"D","5"
"422","1980-02",0,1,0,0,0,"D","5"
"423","1980-03",0,1,0,0,0,"D","5"
"424","1980-04",0,1,0,0,0,"D","5"
"425","1980-05",0,0,0,0,1,"U","1"
"426","1980-06",0,0,0,0,1,"U","1"
"427","1980-07",0,0,0,0,1,"U","1"
"428","1980-08",0,0,0,0,1,"U","1"
"429","1980-09",0,0,0,1,0,"H","4"
"430","1980-10",0,1,0,0,0,"D","5"
"431","1980-11",0,1,0,0,0,"D","5"
"432","1980-12",0,1,0,0,0,"D","5"
"433","1981-01",0,1,0,0,0,"D","5"
"434","1981-02",0,1,0,0,0,"D","5"
"435","1981-03",0,1,0,0,0,"D","5"
"436","1981-04",0,1,0,0,0,"D","5"
"437","1981-05",0,1,0,0,0,"D","5"
"438","1981-06",0,1,0,0,0,"D","5"
"439","1981-07",0,1,0,0,0,"D","5"
"440","1981-08",0,1,0,0,0,"D","5"
