date,ms,rec
2009-07,U,2
2009-08,U,2
2009-09,U,2
2009-10,U,2
2009-11,U,2
2009-12,U,2
2010-01,U,2
2010-02,U,2
2010-03,U,2
2010-04,U,2
2010-05,U,2
2010-06,U,2
2010-07,U,0
2010-08,U,0
2010-09,U,0
2010-10,U,0
2010-11,U,0
2010-12,U,0
2011-01,U,0
2011-02,U,0
2011-03,U,0
2011-04,U,0
2011-05,U,0
2011-06,U,0
2011-07,U,0
2011-08,U,0
2011-09,U,0
2011-10,U,0
2011-11,U,0
2011-12,U,0
2012-01,U,0
2012-02,U,0
2012-03,U,0
2012-04,U,0
2012-05,U,0
2012-06,U,0
2012-07,U,0
2012-08,U,0
2012-09,U,0
2012-10,U,0
2012-11,U,0
2012-12,U,0
2013-01,U,0
2013-02,U,0
2013-03,U,0
2013-04,U,0
2013-05,U,0
2013-06,U,0
2013-07,U,0
2013-08,U,0
2013-09,U,0
2013-10,U,0
2013-11,U,0
2013-12,U,0
2014-01,U,0
2014-02,U,0
2014-03,U,0
2014-04,U,0
2014-05,U,0
2014-06,U,0
2014-07,U,0
2014-08,U,0
2014-09,U,0
2014-10,U,0
2014-11,U,0
2014-12,U,0
2015-01,U,0
2015-02,U,0
2015-03,U,0
2015-04,U,0
2015-05,U,0
2015-06,U,0
2015-07,U,0
2015-08,U,0
2015-09,U,0
2015-10,U,0
2015-11,U,0
2015-12,U,0
2016-01,U,0
2016-02,U,0
2016-03,U,0
