"","date","U","H","F","D","B","Shape","ns"
"306","1978-09",0,0,0,1,0,"D","3"
"307","1978-10",0,0,0,1,0,"D","3"
"308","1978-11",0,0,0,1,0,"D","3"
"309","1978-12",0,0,0,1,0,"D","3"
"310","1979-01",0,0,0,1,0,"D","3"
"311","1979-02",0,0,0,1,0,"D","3"
"312","1979-03",0,0,0,1,0,"D","3"
"313","1979-04",0,0,0,1,0,"D","3"
"314","1979-05",0,0,0,1,0,"D","3"
"315","1979-06",0,0,0,1,0,"D","3"
"316","1979-07",0,0,0,1,0,"D","3"
"317","1979-08",0,0,0,1,0,"D","3"
"318","1979-09",0,0,0,1,0,"D","3"
"319","1979-10",0,0,0,1,0,"D","3"
"320","1979-11",0,0,0,1,0,"D","3"
"321","1979-12",0,0,0,1,0,"D","3"
"322","1980-01",0,0,0,1,0,"D","3"
"323","1980-02",0,0,0,1,0,"D","3"
"324","1980-03",0,0,0,1,0,"D","3"
"325","1980-04",0,0,0,1,0,"D","3"
"326","1980-05",1,0,0,0,0,"U","1"
"327","1980-06",1,0,0,0,0,"U","1"
"328","1980-07",1,0,0,0,0,"U","1"
"329","1980-08",1,0,0,0,0,"U","1"
"330","1980-09",0,1,0,0,0,"H","2"
"331","1980-10",0,0,0,1,0,"D","3"
"332","1980-11",0,0,0,1,0,"D","3"
"333","1980-12",0,0,0,1,0,"D","3"
"334","1981-01",0,0,0,1,0,"D","3"
"335","1981-02",0,0,0,1,0,"D","3"
"336","1981-03",0,0,0,1,0,"D","3"
"337","1981-04",0,0,0,1,0,"D","3"
"338","1981-05",0,0,0,1,0,"D","3"
"339","1981-06",0,0,0,1,0,"D","3"
"340","1981-07",0,0,0,1,0,"D","3"
"341","1981-08",0,0,0,1,0,"D","3"
"342","1981-09",0,0,0,1,0,"D","3"
"343","1981-10",0,1,0,0,0,"H","2"
"344","1981-11",1,0,0,0,0,"U","1"
"345","1981-12",1,0,0,0,0,"U","1"
"346","1982-01",0,1,0,0,0,"H","2"
"347","1982-02",0,1,0,0,0,"H","2"
"348","1982-03",0,1,0,0,0,"H","2"
"349","1982-04",0,1,0,0,0,"H","2"
"350","1982-05",0,1,0,0,0,"H","2"
"351","1982-06",0,1,0,0,0,"H","2"
"352","1982-07",0,1,0,0,0,"H","2"
"353","1982-08",1,0,0,0,0,"U","1"
"354","1982-09",1,0,0,0,0,"U","1"
"355","1982-10",1,0,0,0,0,"U","1"
"356","1982-11",1,0,0,0,0,"U","1"
"357","1982-12",1,0,0,0,0,"U","1"
"358","1983-01",1,0,0,0,0,"U","1"
"359","1983-02",1,0,0,0,0,"U","1"
"360","1983-03",1,0,0,0,0,"U","1"
"361","1983-04",1,0,0,0,0,"U","1"
"362","1983-05",1,0,0,0,0,"U","1"
"363","1983-06",1,0,0,0,0,"U","1"
"364","1983-07",1,0,0,0,0,"U","1"
"365","1983-08",1,0,0,0,0,"U","1"
"366","1983-09",1,0,0,0,0,"U","1"
"367","1983-10",1,0,0,0,0,"U","1"
"368","1983-11",1,0,0,0,0,"U","1"
"369","1983-12",1,0,0,0,0,"U","1"
"370","1984-01",1,0,0,0,0,"U","1"
"371","1984-02",1,0,0,0,0,"U","1"
"372","1984-03",1,0,0,0,0,"U","1"
