,date,seq,b,d,f,h,u
708,2012-03,U,0,0,0,0,1
709,2012-04,U,0,0,0,0,1
710,2012-05,U,0,0,0,0,1
711,2012-06,U,0,0,0,0,1
712,2012-07,U,0,0,0,0,1
713,2012-08,U,0,0,0,0,1
714,2012-09,U,0,0,0,0,1
715,2012-10,U,0,0,0,0,1
716,2012-11,U,0,0,0,0,1
717,2012-12,U,0,0,0,0,1
718,2013-01,U,0,0,0,0,1
719,2013-02,U,0,0,0,0,1
720,2013-03,U,0,0,0,0,1
721,2013-04,U,0,0,0,0,1
722,2013-05,U,0,0,0,0,1
723,2013-06,U,0,0,0,0,1
724,2013-07,U,0,0,0,0,1
725,2013-08,U,0,0,0,0,1
726,2013-09,U,0,0,0,0,1
727,2013-10,U,0,0,0,0,1
728,2013-11,U,0,0,0,0,1
729,2013-12,U,0,0,0,0,1
730,2014-01,U,0,0,0,0,1
731,2014-02,U,0,0,0,0,1
732,2014-03,U,0,0,0,0,1
733,2014-04,U,0,0,0,0,1
