,date,U,H,F,D,B,ms,ns
266,1967-02,0,1,0,0,0,H,2
267,1967-03,1,0,0,0,0,U,1
268,1967-04,1,0,0,0,0,U,1
269,1967-05,1,0,0,0,0,U,1
270,1967-06,1,0,0,0,0,U,1
271,1967-07,0,1,0,0,0,H,2
272,1967-08,0,1,0,0,0,H,2
273,1967-09,0,1,0,0,0,H,2
274,1967-10,0,1,0,0,0,H,2
275,1967-11,0,1,0,0,0,H,2
276,1967-12,0,0,1,0,0,F,5
277,1968-01,0,1,0,0,0,H,2
278,1968-02,0,1,0,0,0,H,2
279,1968-03,0,1,0,0,0,H,2
280,1968-04,0,1,0,0,0,H,2
281,1968-05,0,0,0,1,0,D,3
282,1968-06,0,0,0,1,0,D,3
283,1968-07,0,0,0,1,0,D,3
284,1968-08,0,1,0,0,0,H,2
285,1968-09,0,0,1,0,0,F,5
286,1968-10,0,0,1,0,0,F,5
287,1968-11,0,0,0,0,1,B,4
288,1968-12,0,0,0,1,0,D,3
289,1969-01,0,0,0,1,0,D,3
290,1969-02,0,0,0,1,0,D,3
291,1969-03,0,1,0,0,0,H,2
292,1969-04,0,1,0,0,0,H,2
293,1969-05,0,1,0,0,0,H,2
294,1969-06,0,0,0,1,0,D,3
295,1969-07,0,0,0,1,0,D,3
296,1969-08,0,0,0,1,0,D,3
297,1969-09,0,0,0,1,0,D,3
298,1969-10,0,0,0,1,0,D,3
299,1969-11,0,0,0,1,0,D,3
300,1969-12,0,0,0,1,0,D,3
301,1970-01,0,0,0,1,0,D,3
302,1970-02,0,1,0,0,0,H,2
303,1970-03,0,1,0,0,0,H,2
304,1970-04,0,1,0,0,0,H,2
305,1970-05,0,1,0,0,0,H,2
306,1970-06,0,1,0,0,0,H,2
307,1970-07,0,1,0,0,0,H,2
308,1970-08,0,1,0,0,0,H,2
309,1970-09,0,1,0,0,0,H,2
310,1970-10,0,1,0,0,0,H,2
311,1970-11,1,0,0,0,0,U,1
312,1970-12,1,0,0,0,0,U,1
313,1971-01,1,0,0,0,0,U,1
314,1971-02,1,0,0,0,0,U,1
315,1971-03,1,0,0,0,0,U,1
316,1971-04,1,0,0,0,0,U,1
317,1971-05,1,0,0,0,0,U,1
318,1971-06,0,1,0,0,0,H,2
319,1971-07,0,1,0,0,0,H,2
320,1971-08,0,1,0,0,0,H,2
321,1971-09,1,0,0,0,0,U,1
322,1971-10,1,0,0,0,0,U,1
323,1971-11,1,0,0,0,0,U,1
324,1971-12,1,0,0,0,0,U,1
325,1972-01,1,0,0,0,0,U,1
